fullName_E;sdnType_E;program_E;city_E;country_E
INMOBILIARIA HOTELERA DEL CARIBE LTDA.;Entity;SDNT;Barranquilla;Colombia
INVERSIONES HOTELERAS DEL LITORAL LTDA.;Entity;SDNT;Barranquilla;Colombia
INVERSIONES PRADO TRADE CENTER LTDA.;Entity;SDNT;Barranquilla;Colombia
NEGOCIOS Y PROPIEDADES DEL CARIBE LTDA.;Entity;SDNT;Barranquilla;Colombia
PROMOTORA HOTEL BARRANQUILLA LTDA.;Entity;SDNT;Barranquilla;Colombia
SURAMERICANA DE HOTELES LTDA.;Entity;SDNT;Barranquilla;Colombia
AL QA'IDA;Entity;FTO;NULL;NULL
C.N.A. PUBLICIDAD LTDA.;Entity;SDNT;Barranquilla;Colombia
CAMPO VERDE LTDA.;Entity;SDNT;Barranquilla;Colombia
COLOMBIANA DE CERDOS LTDA.;Entity;SDNT;Pereira;Colombia
DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.;Entity;SDNT;Cali;Colombia
INVERSIONES NAMOS Y CIA. LTDA.;Entity;SDNT;Barranquilla;Colombia
K. P. TO JEANS WEAR S. DE H.;Entity;SDNT;Barranquilla;Colombia
MATADERO METROPOLITANO LTDA.;Entity;SDNT;Pereira;Colombia
TITOS BOLO CLUB;Entity;SDNT;Barranquilla;Colombia
VILLA DE ARTE S. DE H.;Entity;SDNT;Barranquilla;Colombia
TALIBAN;Entity;SDGT;NULL;Afghanistan
AGROINVERSORA URDINOLA HENAO Y CIA. S.C.S.;Entity;SDNT;Cali;Colombia
COMERCIALIZADORA DE CARNES LTDA.;Entity;SDNT;Pereira;Colombia
CONSTRUCTORA E INMOBILIARIA URVALLE CIA. LTDA.;Entity;SDNT;Cali;Colombia
CONSTRUCTORA UNIVERSAL LTDA.;Entity;SDNT;Cali;Colombia
EXPLOTACIONES AGRICOLAS Y GANADERAS LA LORENA S.C.S.;Entity;SDNT;Cali;Colombia
INDUSTRIAS AGROPECUARIAS DEL VALLE LTDA.;Entity;SDNT;Cali;Colombia
