fullName_E;sdnType_E;program_E;city_E;country_E
IRANIAN COMMUNICATIONS REGULATORY AUTHORITY;Entity;IRAN-TRA;Tehran;Iran
IRANIAN CYBER POLICE;Entity;IRAN-TRA;NULL;NULL
ASESORIA Y SERVICIOS ADMINISTRATIVOS, TECNICOS Y OPERATIVOS DUREL, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
CENTRO COMERCIAL Y HABITACIONAL LOMAS, S.A. DE C.V.;Entity;SDNTK;Culiacan;Mexico
COMMANDER NAZIR GROUP;Entity;SDGT;NULL;Pakistan
LOS CABALLEROS TEMPLARIOS;Entity;SDNTK;NULL;Mexico
SISTEMAS ELITE DE SEGURIDAD PRIVADA, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
LOS CACHIROS;Entity;SDNTK;NULL;Honduras
ANSAR AL-DINE;Entity;FTO;NULL;Region: Northern Mali
SAMBOUK SHIPPING FZC;Entity;IRAN;Fujairah;United Arab Emirates
T.F.M.C. THE FOOD MANAGEMENT CORPORATION LTD;Entity;SDNTK;Rosh HaAyin;Israel
FUNDACION ISSARA;Entity;SDNTK;Panama City;Panama
COMPANIA GANADERA 5 MANANTIALES S. DE P.R. DE R.L.;Entity;SDNTK;Allende;Mexico
IMPAN-COL, S.A.;Entity;SDNTK;NULL;Panama
CHAPS INVESTMENT INC.;Entity;SDNTK;NULL;Panama
INVERSORA PANACOL S.A.;Entity;SDNTK;Panama City;Panama
C.I. CAFFEE VALORES S.A.;Entity;SDNTK;Panama City;Panama
COMPANIA REAL DE PANAMA S.A.;Entity;SDNTK;Panama City;Panama
CLAN DEL GOLFO;Entity;SDNTK;NULL;Colombia
ALUMINAT;Entity;IFSR;Tehran;Iran
PARS AMAYESH SANAAT KISH;Entity;IFSR;Tehran;Iran
TAGHTIRAN KASHAN COMPANY;Entity;IFSR;Tehran;Iran
PISHRO SYSTEMS RESEARCH COMPANY;Entity;NPWMD;Tehran;Iran
AL-DUNYA TELEVISION;Entity;SYRIA;Damascus;Syria
TRANS MULTI MECHANICS CO. LTD.;Entity;NPWMD;Taichung City;Taiwan
BRACRO S.A.;Entity;SDNTK;Panama City;Panama
ZOLAL IRAN COMPANY;Entity;NPWMD;Tehran;Iran
BANDAR IMAM PETROCHEMICAL COMPANY;Entity;IRAN;Tehran;Iran
BU ALI SINA PETROCHEMICAL COMPANY;Entity;IRAN;Tehran;Iran
MOBIN PETROCHEMICAL COMPANY;Entity;IRAN;Assaluyeh;Iran
NOURI PETROCHEMICAL COMPANY;Entity;IFSR;Assaluyeh Port;Iran
PARS PETROCHEMICAL COMPANY;Entity;IFSR;Assaluyeh;Iran
SHAHID TONDGOYAN PETROCHEMICAL COMPANY;Entity;NPWMD;NULL;Iran
SHAZAND PETROCHEMICAL COMPANY;Entity;IRAN;Tehran;Iran
TABRIZ PETROCHEMICAL COMPANY;Entity;IRAN;Tabriz;Iran
ANDISHEH ZOLAL;Entity;NPWMD;Tehran;Iran
PETRO GREEN;Entity;IFSR;Kuala Lumpur;Malaysia
GLOBAL SEA LINE CO LTD;Entity;IFSR;NULL;Singapore
ENERGY GLOBAL INTERNATIONAL FZE;Entity;IFSR;Dubai;United Arab Emirates
KYRGYZ TRANS AVIA;Entity;IFSR;Bishkek;Kyrgyzstan
SIRJANCO TRADING L.L.C.;Entity;IFSR;Dubai;United Arab Emirates
COMMITTEE TO DETERMINE INSTANCES OF CRIMINAL CONTENT;Entity;IRAN-TRA;Tehran;Iran
OFOGH SABERIN ENGINEERING DEVELOPMENT COMPANY;Entity;IRAN-TRA;Tehran;Iran
EXECUTION OF IMAM KHOMEINI'S ORDER;Entity;IRAN;Tehran;Iran
TOSEE EQTESAD AYANDEHSAZAN COMPANY;Entity;IRAN;Tehran;Iran
TADBIR ECONOMIC DEVELOPMENT GROUP;Entity;IRAN;Tehran;Iran
TADBIR INVESTMENT COMPANY;Entity;IRAN;Tehran;Iran
MODABER;Entity;IRAN;NULL;NULL
TADBIR CONSTRUCTION DEVELOPMENT COMPANY;Entity;IRAN;Tehran;Iran
TADBIR ENERGY DEVELOPMENT GROUP CO.;Entity;IRAN;Tehran;Iran
REY INVESTMENT COMPANY;Entity;IRAN;Tehran;Iran
REYCO GMBH.;Entity;IRAN;Dinslaken;Germany
MCS INTERNATIONAL GMBH;Entity;IRAN;Dinslaken;Germany
MCS ENGINEERING;Entity;IRAN;Dinslaken;Germany
GOLDEN RESOURCES TRADING COMPANY L.L.C.;Entity;IRAN;Dubai;United Arab Emirates
CYLINDER SYSTEM L.T.D.;Entity;IRAN;Slavonski Brod;Croatia
AMIN INVESTMENT BANK;Entity;IRAN-EO13902;Tehran;Iran
PARDIS INVESTMENT COMPANY;Entity;IRAN;NULL;Iran
MELLAT INSURANCE COMPANY;Entity;IRAN;Tehran;Iran
IRAN & SHARGH COMPANY;Entity;IRAN;Tehran;Iran
IRAN & SHARGH LEASING COMPANY;Entity;IRAN;Tehran;Iran
TADBIR BROKERAGE COMPANY;Entity;IRAN;Tehran;Iran
ZARIN RAFSANJAN CEMENT COMPANY;Entity;IRAN;Tehran;Iran
RISHMAK PRODUCTIVE & EXPORTS COMPANY;Entity;IRAN;Shiraz;Iran
OMID REY CIVIL & CONSTRUCTION COMPANY;Entity;IRAN;NULL;NULL
BEHSAZ KASHANE TEHRAN CONSTRUCTION CO.;Entity;IRAN;Tehran;Iran
ROYAL ARYA CO.;Entity;IRAN;NULL;Iran
HORMOZ OIL REFINING COMPANY;Entity;IRAN;Bandar Abbas City;Iran
GHAED BASSIR PETROCHEMICAL PRODUCTS COMPANY;Entity;IRAN;Tehran;Iran
PERSIA OIL & GAS INDUSTRY DEVELOPMENT CO.;Entity;IRAN-EO13876;Tehran;Iran
PARS OIL CO.;Entity;IRAN;Tehran;Iran
COMMERCIAL PARS OIL CO.;Entity;IRAN;Tehran;Iran
MARJAN PETROCHEMICAL COMPANY;Entity;IRAN;Tehran;Iran
GHADIR INVESTMENT COMPANY;Entity;IRAN;Tehran;Iran
SADAF PETROCHEMICAL ASSALUYEH COMPANY;Entity;IRAN;Assaluyeh;Iran
POLYNAR COMPANY;Entity;IRAN;Tehran;Iran
ONE CLASS PROPERTIES (PTY) LTD.;Entity;IRAN;Cape Town;South Africa
ONE VISION INVESTMENTS 5 (PTY) LTD.;Entity;IRAN;Cape Town;South Africa
PARS MCS;Entity;IRAN;Tehran;Iran
OIL INDUSTRY INVESTMENT COMPANY;Entity;IRAN;Tehran;Iran
REY NIRU ENGINEERING COMPANY;Entity;IRAN;Tehran;Iran
DAEDONG CREDIT BANK;Entity;NPWMD;Pyongyang;Korea, North
DCB FINANCE LIMITED;Entity;NPWMD;Tortola;Virgin Islands, British
SWISS MANAGEMENT SERVICES SARL;Entity;IRAN;Lonay;Switzerland
KASB INTERNATIONAL LLC;Entity;IRAN;Dubai;United Arab Emirates
PETRO ROYAL FZE;Entity;IRAN;NULL;United Arab Emirates
AA ENERGY FZCO;Entity;IRAN;NULL;United Arab Emirates
GANADEROS AGRICULTORES DEL NORTE, S. DE R.L. DE C.V.;Entity;SDNTK;Tocoa;Honduras
PALMA DEL BAJO AGUAN, S.A.;Entity;SDNTK;Tocoa;Honduras
MINERA MI ESPERANZA, S.A.;Entity;SDNTK;NULL;Honduras
INMOBILIARIA RIVERA MARADIAGA, S.A. DE C.V.;Entity;SDNTK;Distrito Central;Honduras
INVERSIONES TURISTICAS JOYA GRANDE, S.A. DE C.V.;Entity;SDNTK;San Pedro Sula;Honduras
ALMACEN SONIPAL;Entity;SDNTK;Maicao;Colombia
INTERNACIONAL MONEY SERVICIO LTDA.;Entity;SDNTK;Barranquilla;Colombia
INVERSIONES Y REPRESENTACIONES EL CAIRO LTDA.;Entity;SDNTK;Barranquilla;Colombia
DISTRIBUIDORA E IMPORTADORA DE PRODUCTOS MEDICOS DEL NORTE, S.A. DE C.V.;Entity;SDNTK;Monterrey;Mexico
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA;Entity;SDGT;Peshawar;Pakistan
MUHAMMAD JAMAL NETWORK;Entity;SDGT;NULL;Egypt
CEC LIMITED;Entity;SDNTK;Shanghai;China
BOKO HARAM;Entity;FTO;NULL;Nigeria
ANSARU;Entity;FTO;NULL;Nigeria
LA OFICINA DE ENVIGADO;Entity;SDNTK;Medellin;Colombia
QODS AVIATION INDUSTRIES;Entity;NPWMD;Tehran;Iran
FAN PARDAZAN;Entity;NPWMD;Tehran;Iran
IRAN AVIATION INDUSTRIES ORGANIZATION;Entity;IFSR;Tehran;Iran
ERTEBAT GOSTAR NOVIN;Entity;IFSR;Tehran;Iran
EYVAZ TECHNIC MANUFACTURING COMPANY;Entity;NPWMD;Tehran;Iran
MARO SANAT COMPANY;Entity;NPWMD;Tehran;Iran
NAVID COMPOSITE MATERIAL COMPANY;Entity;IFSR;Tehran;Iran
NEGIN PARTO KHAVAR;Entity;IFSR;Tehran;Iran
AL-MULATHAMUN BATTALION;Entity;FTO;NULL;Algeria
LAHORE JAN SHANWARI EXCHANGE;Entity;SDNTK;Jalalabad;Afghanistan
H Y J COMERCIALIZADORA INTERNACIONAL LTDA;Entity;SDNTK;Bogota;Colombia
JOYERIA MANUELLA H.M.;Entity;SDNTK;Cali;Colombia
COMERCIALIZADORA J DURANGO;Entity;SDNTK;San Pedro de Uraba;Colombia
INMOBILIARIA FER CADENA;Entity;SDNTK;Cali;Colombia
LITOGRAFIA VARON;Entity;SDNTK;Cali;Colombia
VARIEDADES BRITNEY;Entity;SDNTK;Cali;Colombia
ANSAR AL-SHARI'A IN BENGHAZI;Entity;FTO;Benghazi;Libya
ANSAR AL-SHARI'A IN DARNAH;Entity;FTO;Darnah;Libya
ANSAR AL-SHARI'A IN TUNISIA;Entity;SDGT;NULL;Tunisia
EL KAIRO INTERNACIONAL SAS;Entity;SDNTK;Bogota;Colombia
ADVANCE ELECTRICAL AND INDUSTRIAL TECHNOLOGIES SL;Entity;IFSR;Igualada (Barcelona);Spain
TIVA SANAT GROUP;Entity;NPWMD;Mashhad;Iran
TIVA KARA CO. LTD.;Entity;NPWMD;Tehran;Iran
TIVA POLYMER CO.;Entity;IFSR;Tehran;Iran
TIVA DARYA;Entity;NPWMD;Tehran;Iran
BLUE SKY AVIATION CO FZE;Entity;SDGT;Dubai;United Arab Emirates
AVIA TRUST FZE;Entity;SDGT;Dubai;United Arab Emirates
KUDO-KAI;Entity;TCO;Kitakyushu City;Japan
PRODUCCION PESQUERA DONA MARIELA, S.A. DE C.V.;Entity;SDNTK;Mazatlan;Mexico
TAIPEN, S.A. DE C.V.;Entity;SDNTK;Zapopan;Mexico
LOS VALLES DRUG TRAFFICKING ORGANIZATION;Entity;SDNTK;NULL;NULL
INVERSIONES YOSARY;Entity;SDNTK;NULL;Honduras
INVERSIONES LUISITO;Entity;SDNTK;Municipio de Florida;Honduras
INVERSIONES VALLE;Entity;SDNTK;Municipio de Florida;Honduras
FINCA LOS TRES REYES;Entity;SDNTK;Municipio de Florida;Honduras
COMERCIALIZADORA Y FRIGORIFICOS DE LA PERLA DEL PACIFICO, S.A. DE C.V.;Entity;SDNTK;Mazatlan;Mexico
BANK ROSSIYA;Entity;UKRAINE-EO13661;Saint Petersburg;Russia
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO;Entity;DRCONGO;NULL;Congo, Democratic Republic of the
COMPRA VENTA GERPEZ;Entity;SDNTK;Tulua;Colombia
CHERNOMORNEFTEGAZ;Entity;UKRAINE-EO13660;Simferopol;Ukraine
SINO ZIM DEVELOPMENT (PVT) LTD;Entity;ZIMBABWE;Harare;Zimbabwe
ISIS-SINAI PROVINCE;Entity;FTO;NULL;Egypt
BIESTRA S.A.;Entity;SDNTK;Palmira;Colombia
GLOBANTY S.A.S.;Entity;SDNTK;Maicao;Colombia
LILIANA ESQUENAZI M. & CIA. S. C. S.;Entity;SDNTK;Cali;Colombia
OOO VOLGA GROUP;Entity;RUSSIA-EO14024;Moscow;Russia
OOO TRANSOIL;Entity;RUSSIA-EO14024;Saint Petersburg;Russia
AQUANIKA;Entity;UKRAINE-EO13661;Moscow;Russia
INVESTCAPITALBANK;Entity;UKRAINE-EO13661;Ufa;Russia
CJSC ZEST;Entity;UKRAINE-EO13661;St. Petersburg;Russia
JSB SOBINBANK;Entity;UKRAINE-EO13661;Moscow;Russia
SAKHATRANS LLC;Entity;UKRAINE-EO13661;NULL;Russia
AVIA GROUP LLC;Entity;UKRAINE-EO13661;NULL;Russia
AVIA GROUP NORD LLC;Entity;UKRAINE-EO13661;Saint Petersburg;Russia
STROYGAZMONTAZH;Entity;UKRAINE-EO13661;Moscow;Russia
SMP BANK;Entity;RUSSIA-EO14024;Moscow;Russia
STROYTRANSGAZ HOLDING;Entity;UKRAINE-EO13661;NULL;Cyprus
STROYTRANSGAZ GROUP;Entity;UKRAINE-EO13661;NULL;Russia
STROYTRANSGAZ OJSC;Entity;UKRAINE-EO13661;NULL;Russia
STROYTRANSGAZ-M LLC;Entity;UKRAINE-EO13661;Novy Urengoy;Russia
STROYTRANSGAZ LLC;Entity;UKRAINE-EO13661;Moscow;Russia
THE LIMITED LIABILITY COMPANY INVESTMENT COMPANY ABROS;Entity;UKRAINE-EO13661;St. Petersburg;Russia
BAMEX LIMITED;Entity;SDNTK;Klagenfurt;Austria
NORTHSTAR TRADING CORPORATION;Entity;SDNTK;Victoria;Seychelles
KALLIOPE LIMITED;Entity;SDNTK;NULL;Gibraltar
PANYA AG;Entity;SDNTK;NULL;Liechtenstein
MERIDEIS D.O.O.;Entity;SDNTK;Ljubljana;Slovenia
VELINVESTMENT D.O.O.;Entity;SDNTK;Ljubljana;Slovenia
PALEA D.O.O.;Entity;SDNTK;Ljubljana;Slovenia
SUCCESS MOVE LTD.;Entity;NPWMD;Dalian;China
DALIAN ZHONGCHUANG CHAR-WHITE CO., LTD.;Entity;IFSR;Dalian;China
TEREAL INDUSTRY AND TRADE LIMITED;Entity;IFSR;Dalian City;China
DALIAN ZHENGHUA MAOYI YOUXIAN GONGSI;Entity;IFSR;Dalian;China
KARAT INDUSTRY CO., LTD.;Entity;IFSR;Dalian;China
MTTO INDUSTRY AND TRADE LIMITED;Entity;IFSR;Dalian City;China
SINOTECH INDUSTRY CO., LTD.;Entity;IFSR;Dalian City;China
SINOTECH DALIAN CARBON AND GRAPHITE MANUFACTURING CORPORATION;Entity;IFSR;Dalian;China
SAZEH MORAKAB CO. LTD;Entity;IFSR;Tehran;Iran
PABAS HOLDING CORP.;Entity;SDNTK;NULL;NULL
NORTH GROUP HOLDING CORP.;Entity;SDNTK;NULL;NULL
TEMPBANK;Entity;SYRIA;Moscow;Russia
FEDERAL STATE UNITARY ENTERPRISE STATE RESEARCH AND PRODUCTION ENTERPRISE BAZALT;Entity;UKRAINE-EO13661;Moscow;Russia
KONSTRUKTORSKOE BYURO PRIBOROSTROENIYA OTKRYTOE AKTSIONERNOE OBSHCHESTVO;Entity;UKRAINE-EO13661;Tula;Russia
JOINT STOCK COMPANY AEROSPACE DEFENSE CONCERN ALMAZ-ANTEY;Entity;RUSSIA-EO14024;Moscow;Russia
JOINT STOCK COMPANY CONCERN RADIO-ELECTRONIC TECHNOLOGIES;Entity;UKRAINE-EO13661;Moscow;Russia
JOINT STOCK COMPANY CONCERN SOZVEZDIE;Entity;UKRAINE-EO13661;Voronezh;Russia
JOINT STOCK COMPANY MILITARY-INDUSTRIAL CORPORATION NPO MASHINOSTROYENIA;Entity;UKRAINE-EO13661;Reutov-town;Russia
URALVAGONZAVOD;Entity;UKRAINE-EO13661;Nizhni Tagil;Russia
JOINT STOCK COMPANY UNITED SHIPBUILDING CORPORATION;Entity;RUSSIA-EO14024;St. Petersburg;Russia
SOURCE1HERBS;Entity;SDNTK;Swastika;Canada
RESEARCH FX CONSULTANTS LIMITED;Entity;SDNTK;Swastika;Canada
LEADING EDGE SOURCING CORPORATION;Entity;SDNTK;Panama City;Panama
BOYLE CHEMICAL CO., LTD.;Entity;SDNTK;Shanghai;China
BANIAS REFINERY COMPANY;Entity;SYRIA;Baniyas;Syria
HOMS REFINERY COMPANY;Entity;SYRIA;Homs;Syria
KALASHNIKOV CONCERN;Entity;UKRAINE-EO13661;Udmurt Republic;Russia
AL-NUSRAH FRONT;Entity;FTO;NULL;NULL
FEODOSIYA ENTERPRISE;Entity;UKRAINE-EO13660;NULL;Ukraine
ACUAMATERIALES Y CIA. LIMITADA;Entity;SDNTK;Medellin;Colombia
LA TIENDA DE MINGO;Entity;SDNTK;Medellin;Colombia
INVERSIONES C.P.C.L. Y CIA. S. EN C.S.;Entity;SDNTK;Envigado;Colombia
EXPERT PARTNERS;Entity;NPWMD;Damascus;Syria
MEGATRADE;Entity;NPWMD;Damascus;Syria
PANGATES INTERNATIONAL CORPORATION LIMITED;Entity;SYRIA;Sharjah;United Arab Emirates
VTB BANK PUBLIC JOINT STOCK COMPANY;Entity;UKRAINE-EO13662;St. Petersburg;Russia
STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK;Entity;UKRAINE-EO13662;Moscow;Russia
BM BANK JSC;Entity;UKRAINE-EO13662;Moscow;Russia
PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA;Entity;UKRAINE-EO13662;Moscow;Russia
DONBASS PEOPLE'S MILITIA;Entity;UKRAINE-EO13660;Donetsk;Ukraine
LUHANSK PEOPLE'S REPUBLIC;Entity;UKRAINE-EO13660;NULL;Ukraine
STARS GROUP HOLDING;Entity;SDGT;NULL;Lebanon
UNIQUE STARS MOBILE PHONES LLC;Entity;SDGT;Dubai;United Arab Emirates
STARS INTERNATIONAL LTD;Entity;SDGT;Guangzhou;China
STARS COMMUNICATIONS LTD;Entity;SDGT;Beirut;Lebanon
TELESERVE PLUS SAL;Entity;SDGT;Chiyah;Lebanon
STARS COMMUNICATIONS OFFSHORE SAL;Entity;SDGT;Haret Hreik;Lebanon
FASTLINK SARL;Entity;SDGT;Beirut;Lebanon
DONETSK PEOPLE'S REPUBLIC;Entity;UKRAINE-EO13660;NULL;Ukraine
CHONGCHONGANG SHIPPING COMPANY LIMITED;Entity;DPRK;Central District;Korea, North
OCEAN MARITIME MANAGEMENT COMPANY LIMITED;Entity;DPRK;Pyongyang;Korea, North
SAGAX INVESTMENT GROUP LTD.;Entity;SDNTK;Belize City;Belize
KARNER D.O.O. LJUBLJANA;Entity;SDNTK;Ljubljana;Slovenia
AMMERSHAM COMMERCIAL VENTURES LIMITED;Entity;SDNTK;Victoria;Seychelles
PANACEA INTERNATIONAL LTD.;Entity;SDNTK;Roseau;Dominica
HAJI BASIR AND ZARJMIL COMPANY HAWALA;Entity;SDGT;Chaman;Pakistan
KHAVARMIANEH BANK;Entity;IRAN;Tehran;Iran
GHARZOLHASANEH RESALAT BANK;Entity;IRAN;Tehran;Iran
KISH INTERNATIONAL BANK;Entity;IRAN;Kish Island;Iran
KAFOLATBANK;Entity;IRAN;Dushanbe;Tajikistan
ASMA MONEY EXCHANGERS;Entity;SDGT;Lahore;Pakistan
MUJAHIDIN SHURA COUNCIL IN THE ENVIRONS OF JERUSALEM;Entity;SDGT;NULL;NULL
THE ORGANIZATION OF DEFENSIVE INNOVATION AND RESEARCH;Entity;IFSR;Tehran;Iran
CASPIAN AIRLINES;Entity;IFSR;Tehran;Iran
MERAJ AIR;Entity;IFSR;Tehran;Iran
ASIAN AVIATION LOGISTICS COMPANY LIMITED;Entity;IFSR;Bangkok;Thailand
PIONEER LOGISTICS;Entity;SDGT;Istanbul;Turkey
JAHAN TECH ROOYAN PARS;Entity;IFSR;Shiraz;Iran
MANDEGAR BASPAR KIMIYA COMPANY;Entity;IFSR;Tehran;Iran
AGRICULTURAL COOPERATIVE BANK;Entity;SYRIA;Damascus;Syria
INDUSTRIAL BANK;Entity;SYRIA;Damascus;Syria
SAVING BANK;Entity;SYRIA;Damascus;Syria
POPULAR CREDIT BANK;Entity;SYRIA;Damascus;Syria
PROFAKTOR, TOV;Entity;UKRAINE-EO13660;Makiivka;Ukraine
OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE';Entity;UKRAINE-EO13661;Dolgoprudny;Russia
JSC V. TIKHOMIROV SCIENTIFIC RESEARCH INSTITUTE OF INSTRUMENT DESIGN;Entity;UKRAINE-EO13661;Zhukovski;Russia
FREEZER AIR CONTRACTOR S.A.;Entity;SDNTK;Panama City;Panama
QUALITY AUTOS S.A.;Entity;SDNTK;Panama City;Panama
MYTISHCHINSKI MASHINOSTROITELNY ZAVOD, OAO;Entity;UKRAINE-EO13661;Mytishchinski Raion;Russia
JOINT STOCK COMPANY ALMAZ-ANTEY AIR DEFENSE CONCERN MAIN SYSTEM DESIGN BUREAU NAMED BY ACADEMICIAN A.A. RASPLETIN;Entity;UKRAINE-EO13661;Moscow;Russia
KALININ MACHINE PLANT JSC;Entity;UKRAINE-EO13661;Ekaterinburg;Russia
STATE CORPORATION ROSTEC;Entity;RUSSIA-EO14024;Moscow;Russia
HILAL AHMAR SOCIETY INDONESIA;Entity;SDGT;Lampung;Indonesia
ABDUL HAMEED SHAHAB-UD-DIN;Entity;SDGT;Lahore;Pakistan
NIA INTERNATIONAL;Entity;SDGT;Lahore;Pakistan
JAISH AL-MUHAJIREEN WAL-ANSAR;Entity;SDGT;NULL;Syria
HARAKAT SHAM AL-ISLAM;Entity;SDGT;NULL;Syria
NIGHT WOLVES;Entity;UKRAINE-EO13660;Moscow;Russia
PIRUSETI ENTERPRISES LTD;Entity;SYRIA;Nicosia;Cyprus
FRUMINETI INVESTMENTS LTD.;Entity;SYRIA;Limassol;Cyprus
DONATA COMPANY D.O.O.;Entity;SDNTK;Ulcinj;Montenegro
HOTEL CASA GRANDE - SARAJEVO, BOSNIA AND HERZEGOVINA;Entity;SDNTK;Sarajevo;Bosnia and Herzegovina
MEHRAN PAPER MILL;Entity;SDNTK;Kotri;Pakistan
MARSHALL CAPITAL PARTNERS;Entity;UKRAINE-EO13660;NULL;Russia
OPLOT;Entity;UKRAINE-EO13660;Donetsk;Ukraine
SOUTH-EAST MOVEMENT;Entity;UKRAINE-EO13660;NULL;Ukraine
NOVOROSSIYA PARTY;Entity;UKRAINE-EO13660;NULL;Ukraine
ABDULKARIM GROUP;Entity;SYRIA;Damascus;Syria
MAXIMA MIDDLE EAST TRADING CO.;Entity;SYRIA;Sharjah;United Arab Emirates
AJNAD MISR;Entity;SDGT;NULL;Egypt
DOURAN SOFTWARE TECHNOLOGIES;Entity;IRAN-TRA;Tehran;Iran
ABYSSEC;Entity;IRAN-HR;Tehran;Iran
PREDSTAVNISTVO CASAGRANDE EXPORT-IMPORT;Entity;SDNTK;Surcin;Serbia
HOTEL CASA GRANDE - ULCINJ, MONTENEGRO;Entity;SDNTK;Ulcinj;Montenegro
N.P.T.T. DONA-SHELL;Entity;SDNTK;Pec;Kosovo
ANDAMIOS DALMINE DE MEXICO, S.A.;Entity;SDNTK;NULL;Mexico
CARTEL DE JALISCO NUEVA GENERACION;Entity;SDNTK;NULL;Mexico
LOS CUINIS;Entity;SDNTK;NULL;Mexico
RUSSIAN NATIONAL COMMERCIAL BANK;Entity;UKRAINE-EO13685;Moscow;Russia
EURASIAN YOUTH UNION;Entity;UKRAINE-EO13660;Moscow;Russia
AMIGO SUPERMARKET LIMITED;Entity;SDGT;Abuja;Nigeria
WONDERLAND AMUSEMENT PARK AND RESORT LTD;Entity;SDGT;Abuja;Nigeria
KAFAK ENTERPRISES LIMITED;Entity;SDGT;NULL;Nigeria
KODO-KAI;Entity;TCO;Nagoya;Japan
SIGMA TECH COMPANY;Entity;NPWMD;Damascus;Syria
SHADI FOR CARS TRADING;Entity;NPWMD;Beirut;Lebanon
DENISE COMPANY;Entity;NPWMD;Beirut;Lebanon
COMBUSTIBLES BRIONES, S.A. DE C.V.;Entity;SDNTK;NULL;Mexico
STATE ENTERPRISE KERCH SEA COMMERCIAL PORT;Entity;UKRAINE-EO13685;Kerch;Ukraine
NUEVA ATUNERA TRITON S.A. DE C.V.;Entity;SDNTK;Culiacan;Mexico
OPERADORA EFICAZ PEGASO;Entity;SDNTK;Culiacan;Mexico
AG & CARLON, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
BRIC INMOBILIARIA;Entity;SDNTK;Zapopan;Mexico
CONSULTORIA INTEGRAL LA FUENTE, SOCIEDAD CIVIL;Entity;SDNTK;Zapopan;Mexico
GRUPO DIJEMA, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
PLAZA LOS TULES;Entity;SDNTK;Zapopan;Mexico
XAMAN HA CENTER;Entity;SDNTK;Playa del Carmen;Mexico
AHOME REAL ESTATE, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
INTERCORP LEGOCA, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
LA FIRMA MIRANDA, S.A. DE C.V.;Entity;SDNTK;Guadalajara;Mexico
HOTELITO DESCONOCIDO;Entity;SDNTK;Tomatlan;Mexico
HD COLLECTION, S.A. DE C.V.;Entity;SDNTK;Zapopan;Mexico
W&G ARQUITECTOS, S.A. DE C.V.;Entity;SDNTK;Naucalpan;Mexico
CIRCULO COMERCIAL TOTAL DE PRODUCTOS, S.A. DE C.V.;Entity;SDNTK;Zapopan;Mexico
AL-NASER AIRLINES;Entity;IFSR;Baghdad;Iraq
SKY BLUE BIRD AVIATION;Entity;IFSR;Ras al Khaimah Trade Zone;United Arab Emirates
ARENAS DE LORETO;Entity;SDNTK;Guadalajara;Mexico
GENERAL DIRECTORATE OF SYRIAN PORTS;Entity;SYRIA;Lattakia;Syria
LATTAKIA PORT GENERAL COMPANY;Entity;SYRIA;Latakia;Syria
TARTOUS PORT GENERAL COMPANY;Entity;SYRIA;Tartous;Syria
SYRIAN GENERAL AUTHORITY FOR MARITIME TRANSPORT;Entity;SYRIA;Latakia;Syria
SYRIAN SHIPPING AGENCIES COMPANY;Entity;SYRIA;Lattakia;Syria
SYRIAN CHAMBER OF SHIPPING;Entity;SYRIA;Lattakia;Syria
AL-INMAA GROUP FOR TOURISM WORKS, LLC;Entity;SDGT;Beirut;Lebanon
AL-INMAA ENGINEERING AND CONTRACTING;Entity;SDGT;Beirut;Lebanon
AL-INMAA FOR ENTERTAINMENT AND LEISURE PROJECTS;Entity;SDGT;Beirut;Lebanon
CAR CARE CENTER;Entity;SDGT;Baabda;Lebanon
ALTAF KHANANI MONEY LAUNDERING ORGANIZATION;Entity;TCO;NULL;Australia
THE EAGLES L.L.C.;Entity;SYRIA;Damascus;Syria
MORGAN ADDITIVES MANUFACTURING CO.;Entity;SYRIA;Dubai;United Arab Emirates
EXIMBANK OF RUSSIA JSC;Entity;UKRAINE-EO13662;Moscow;Russia
RUSSIAN AGENCY FOR EXPORT CREDIT AND INVESTMENT INSURANCE OJSC;Entity;UKRAINE-EO13662;Moscow;Russia
JSC VEB.DV;Entity;UKRAINE-EO13662;Moscow;Russia
LLC INFRASTRUCTURE MOLZHANINOVO;Entity;UKRAINE-EO13662;Moscow;Russia
VEB CAPITAL;Entity;UKRAINE-EO13662;Moscow;Russia
VEB ENGINEERING LLC;Entity;UKRAINE-EO13662;Moscow;Russia
VEB LEASING OJSC;Entity;UKRAINE-EO13662;Moscow;Russia
BANK BELVEB OJSC;Entity;RUSSIA-EO14024;Minsk;Belarus
PROMINVESTBANK;Entity;UKRAINE-EO13662;Kyiv;Ukraine
VEB ASIA LIMITED;Entity;UKRAINE-EO13662;Hong Kong;China
ROSNEFT TRADING S.A.;Entity;UKRAINE-EO13662;Geneva;Switzerland
AIRFIX AVIATION OY;Entity;UKRAINE-EO13661;Vantaa;Finland
